"Notes"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Dec., 2003"	"2003/12"	"30-34 years"	"30-34"	"Male"	"M"	112	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"30-34 years"	"30-34"			173	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"35-39 years"	"35-39"	"Female"	"F"	99	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"35-39 years"	"35-39"	"Male"	"M"	189	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"35-39 years"	"35-39"			288	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"40-44 years"	"40-44"	"Female"	"F"	142	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"40-44 years"	"40-44"	"Male"	"M"	245	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"40-44 years"	"40-44"			387	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"45-49 years"	"45-49"	"Female"	"F"	134	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"45-49 years"	"45-49"	"Male"	"M"	218	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"45-49 years"	"45-49"			352	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"50-54 years"	"50-54"	"Female"	"F"	108	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"50-54 years"	"50-54"	"Male"	"M"	162	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"50-54 years"	"50-54"			270	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"55-59 years"	"55-59"	"Female"	"F"	50	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"55-59 years"	"55-59"	"Male"	"M"	61	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"55-59 years"	"55-59"			111	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"60-64 years "	"60-64"	"Female"	"F"	23	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"60-64 years "	"60-64"	"Male"	"M"	32	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"60-64 years "	"60-64"			55	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"65-69 years"	"65-69"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"65-69 years"	"65-69"	"Male"	"M"	9	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"65-69 years"	"65-69"			21	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"70-74 years"	"70-74"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"70-74 years"	"70-74"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"70-74 years"	"70-74"			16	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"75-79 years"	"75-79"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"75-79 years"	"75-79"	"Male"	"M"	9	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"75-79 years"	"75-79"			17	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"80-84 years"	"80-84"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"80-84 years"	"80-84"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"80-84 years"	"80-84"			15	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"85-89 years"	"85-89"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"85-89 years"	"85-89"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"85-89 years"	"85-89"			13	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"90-94 years"	"90-94"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"90-94 years"	"90-94"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"90-94 years"	"90-94"			4	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Dec., 2003"	"2003/12"					2088	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"< 1 year"	"1"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"< 1 year"	"1"			6	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"1-4 years"	"1-4"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"1-4 years"	"1-4"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"1-4 years"	"1-4"			3	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"5-9 years"	"5-9"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"5-9 years"	"5-9"			1	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"10-14 years"	"10-14"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"10-14 years"	"10-14"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"10-14 years"	"10-14"			5	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"15-19 years"	"15-19"	"Female"	"F"	15	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"15-19 years"	"15-19"	"Male"	"M"	50	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"15-19 years"	"15-19"			65	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"20-24 years"	"20-24"	"Female"	"F"	31	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"20-24 years"	"20-24"	"Male"	"M"	119	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"20-24 years"	"20-24"			150	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"25-29 years"	"25-29"	"Female"	"F"	36	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"25-29 years"	"25-29"	"Male"	"M"	135	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"25-29 years"	"25-29"			171	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"30-34 years"	"30-34"	"Female"	"F"	60	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"30-34 years"	"30-34"	"Male"	"M"	146	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"30-34 years"	"30-34"			206	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"35-39 years"	"35-39"	"Female"	"F"	110	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"35-39 years"	"35-39"	"Male"	"M"	181	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"35-39 years"	"35-39"			291	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"40-44 years"	"40-44"	"Female"	"F"	160	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"40-44 years"	"40-44"	"Male"	"M"	273	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"40-44 years"	"40-44"			433	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"45-49 years"	"45-49"	"Female"	"F"	155	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"45-49 years"	"45-49"	"Male"	"M"	249	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"45-49 years"	"45-49"			404	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"50-54 years"	"50-54"	"Female"	"F"	116	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"50-54 years"	"50-54"	"Male"	"M"	172	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"50-54 years"	"50-54"			288	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"55-59 years"	"55-59"	"Female"	"F"	54	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"55-59 years"	"55-59"	"Male"	"M"	85	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"55-59 years"	"55-59"			139	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"60-64 years "	"60-64"	"Female"	"F"	33	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"60-64 years "	"60-64"	"Male"	"M"	28	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"60-64 years "	"60-64"			61	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"65-69 years"	"65-69"	"Female"	"F"	13	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"65-69 years"	"65-69"	"Male"	"M"	14	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"65-69 years"	"65-69"			27	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"70-74 years"	"70-74"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"70-74 years"	"70-74"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"70-74 years"	"70-74"			23	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"75-79 years"	"75-79"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"75-79 years"	"75-79"	"Male"	"M"	10	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"75-79 years"	"75-79"			21	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"80-84 years"	"80-84"	"Female"	"F"	8	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"80-84 years"	"80-84"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"80-84 years"	"80-84"			11	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"85-89 years"	"85-89"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"85-89 years"	"85-89"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"85-89 years"	"85-89"			12	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"90-94 years"	"90-94"	"Female"	"F"	2	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"90-94 years"	"90-94"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"90-94 years"	"90-94"			8	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"95-99 years"	"95-99"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"95-99 years"	"95-99"			1	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Not Stated"	"NS"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"	"Not Stated"	"NS"			2	Not Applicable	Not Applicable
"Total"	"Jan., 2004"	"2004/01"					2328	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"< 1 year"	"1"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"< 1 year"	"1"	"Male"	"M"	2	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"< 1 year"	"1"			5	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"1-4 years"	"1-4"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"1-4 years"	"1-4"			0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"5-9 years"	"5-9"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"5-9 years"	"5-9"			0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"10-14 years"	"10-14"	"Female"	"F"	1	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"10-14 years"	"10-14"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"10-14 years"	"10-14"			5	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"15-19 years"	"15-19"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"15-19 years"	"15-19"	"Male"	"M"	43	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"15-19 years"	"15-19"			60	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"20-24 years"	"20-24"	"Female"	"F"	40	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"20-24 years"	"20-24"	"Male"	"M"	134	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"20-24 years"	"20-24"			174	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"25-29 years"	"25-29"	"Female"	"F"	52	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"25-29 years"	"25-29"	"Male"	"M"	131	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"25-29 years"	"25-29"			183	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"30-34 years"	"30-34"	"Female"	"F"	62	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"30-34 years"	"30-34"	"Male"	"M"	148	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"30-34 years"	"30-34"			210	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"35-39 years"	"35-39"	"Female"	"F"	114	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"35-39 years"	"35-39"	"Male"	"M"	181	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"35-39 years"	"35-39"			295	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"40-44 years"	"40-44"	"Female"	"F"	170	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"40-44 years"	"40-44"	"Male"	"M"	241	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"40-44 years"	"40-44"			411	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"45-49 years"	"45-49"	"Female"	"F"	144	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"45-49 years"	"45-49"	"Male"	"M"	220	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"45-49 years"	"45-49"			364	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"50-54 years"	"50-54"	"Female"	"F"	95	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"50-54 years"	"50-54"	"Male"	"M"	148	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"50-54 years"	"50-54"			243	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"55-59 years"	"55-59"	"Female"	"F"	56	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"55-59 years"	"55-59"	"Male"	"M"	63	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"55-59 years"	"55-59"			119	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"60-64 years "	"60-64"	"Female"	"F"	28	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"60-64 years "	"60-64"	"Male"	"M"	20	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"60-64 years "	"60-64"			48	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"65-69 years"	"65-69"	"Female"	"F"	19	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"65-69 years"	"65-69"			31	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"70-74 years"	"70-74"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"70-74 years"	"70-74"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"70-74 years"	"70-74"			13	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"75-79 years"	"75-79"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"75-79 years"	"75-79"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"75-79 years"	"75-79"			12	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"80-84 years"	"80-84"	"Female"	"F"	9	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"80-84 years"	"80-84"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"80-84 years"	"80-84"			12	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"85-89 years"	"85-89"	"Female"	"F"	4	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"85-89 years"	"85-89"	"Male"	"M"	5	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"85-89 years"	"85-89"			9	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"90-94 years"	"90-94"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"90-94 years"	"90-94"			6	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"100+ years"	"100+"			0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"Not Stated"	"NS"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	"Not Stated"	"NS"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"	"Not Stated"	"NS"			1	Not Applicable	Not Applicable
"Total"	"Feb., 2004"	"2004/02"					2201	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"< 1 year"	"1"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"< 1 year"	"1"	"Male"	"M"	1	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"< 1 year"	"1"			1	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"1-4 years"	"1-4"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"1-4 years"	"1-4"	"Male"	"M"	3	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"1-4 years"	"1-4"			3	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"5-9 years"	"5-9"	"Female"	"F"	3	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"5-9 years"	"5-9"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"5-9 years"	"5-9"			3	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"10-14 years"	"10-14"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"10-14 years"	"10-14"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"10-14 years"	"10-14"			0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"15-19 years"	"15-19"	"Female"	"F"	17	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"15-19 years"	"15-19"	"Male"	"M"	37	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"15-19 years"	"15-19"			54	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"20-24 years"	"20-24"	"Female"	"F"	38	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"20-24 years"	"20-24"	"Male"	"M"	119	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"20-24 years"	"20-24"			157	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"25-29 years"	"25-29"	"Female"	"F"	41	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"25-29 years"	"25-29"	"Male"	"M"	151	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"25-29 years"	"25-29"			192	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"30-34 years"	"30-34"	"Female"	"F"	66	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"30-34 years"	"30-34"	"Male"	"M"	137	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"30-34 years"	"30-34"			203	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"35-39 years"	"35-39"	"Female"	"F"	113	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"35-39 years"	"35-39"	"Male"	"M"	197	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"35-39 years"	"35-39"			310	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"40-44 years"	"40-44"	"Female"	"F"	158	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"40-44 years"	"40-44"	"Male"	"M"	261	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"40-44 years"	"40-44"			419	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"45-49 years"	"45-49"	"Female"	"F"	169	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"45-49 years"	"45-49"	"Male"	"M"	256	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"45-49 years"	"45-49"			425	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"50-54 years"	"50-54"	"Female"	"F"	101	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"50-54 years"	"50-54"	"Male"	"M"	159	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"50-54 years"	"50-54"			260	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"55-59 years"	"55-59"	"Female"	"F"	57	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"55-59 years"	"55-59"	"Male"	"M"	51	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"55-59 years"	"55-59"			108	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"60-64 years "	"60-64"	"Female"	"F"	41	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"60-64 years "	"60-64"	"Male"	"M"	28	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"60-64 years "	"60-64"			69	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"65-69 years"	"65-69"	"Female"	"F"	15	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"65-69 years"	"65-69"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"65-69 years"	"65-69"			27	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"70-74 years"	"70-74"	"Female"	"F"	12	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"70-74 years"	"70-74"	"Male"	"M"	6	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"70-74 years"	"70-74"			18	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"75-79 years"	"75-79"	"Female"	"F"	11	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"75-79 years"	"75-79"	"Male"	"M"	9	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"75-79 years"	"75-79"			20	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"80-84 years"	"80-84"	"Female"	"F"	6	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"80-84 years"	"80-84"	"Male"	"M"	12	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"80-84 years"	"80-84"			18	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"85-89 years"	"85-89"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"85-89 years"	"85-89"	"Male"	"M"	4	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"85-89 years"	"85-89"			9	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"90-94 years"	"90-94"	"Female"	"F"	5	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"90-94 years"	"90-94"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"90-94 years"	"90-94"			5	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"95-99 years"	"95-99"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"95-99 years"	"95-99"	"Male"	"M"	0	Not Applicable	Not Applicable
"Total"	"Mar., 2004"	"2004/03"	"95-99 years"	"95-99"			0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"100+ years"	"100+"	"Female"	"F"	0	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	"100+ years"	"100+"	"Male"	"M"	0	Not Applicable	Not Applicable
