"Notes"	"State"	"State Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"North Carolina"	"37"	"Nursing home/long term care"	"6"	55	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Other"	"7"	2356	Not Applicable	Not Applicable
	"North Carolina"	"37"	"Place of death unknown"	"9"	38	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Inpatient"	"1"	70	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Outpatient or ER"	"2"	51	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Dead on Arrival"	"3"	12	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Decedent's home"	"4"	212	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Other"	"7"	60	Not Applicable	Not Applicable
	"North Dakota"	"38"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Inpatient"	"1"	2603	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Outpatient or ER"	"2"	4423	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Dead on Arrival"	"3"	455	Not Applicable	Not Applicable
	"Ohio"	"39"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Ohio"	"39"	"Decedent's home"	"4"	14003	Not Applicable	Not Applicable
	"Ohio"	"39"	"Hospice facility"	"5"	93	Not Applicable	Not Applicable
	"Ohio"	"39"	"Nursing home/long term care"	"6"	107	Not Applicable	Not Applicable
	"Ohio"	"39"	"Other"	"7"	4611	Not Applicable	Not Applicable
	"Ohio"	"39"	"Place of death unknown"	"9"	10	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Inpatient"	"1"	1055	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Outpatient or ER"	"2"	1614	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Dead on Arrival"	"3"	100	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Decedent's home"	"4"	5117	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Nursing home/long term care"	"6"	32	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Other"	"7"	1370	Not Applicable	Not Applicable
	"Oklahoma"	"40"	"Place of death unknown"	"9"	14	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Inpatient"	"1"	784	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Outpatient or ER"	"2"	512	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Dead on Arrival"	"3"	32	Not Applicable	Not Applicable
	"Oregon"	"41"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Oregon"	"41"	"Decedent's home"	"4"	4216	Not Applicable	Not Applicable
	"Oregon"	"41"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Oregon"	"41"	"Nursing home/long term care"	"6"	33	Not Applicable	Not Applicable
	"Oregon"	"41"	"Other"	"7"	1328	Not Applicable	Not Applicable
	"Oregon"	"41"	"Place of death unknown"	"9"	115	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Inpatient"	"1"	2962	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Outpatient or ER"	"2"	4163	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Dead on Arrival"	"3"	1712	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Decedent's home"	"4"	16084	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Hospice facility"	"5"	27	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Nursing home/long term care"	"6"	137	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Other"	"7"	5705	Not Applicable	Not Applicable
	"Pennsylvania"	"42"	"Place of death unknown"	"9"	62	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Inpatient"	"1"	225	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Outpatient or ER"	"2"	702	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Dead on Arrival"	"3"	18	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Decedent's home"	"4"	1315	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Nursing home/long term care"	"6"	17	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Other"	"7"	465	Not Applicable	Not Applicable
	"Rhode Island"	"44"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Inpatient"	"1"	874	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Outpatient or ER"	"2"	1154	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Dead on Arrival"	"3"	152	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Decedent's home"	"4"	4541	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Hospice facility"	"5"	23	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Nursing home/long term care"	"6"	13	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Other"	"7"	1414	Not Applicable	Not Applicable
	"South Carolina"	"45"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Inpatient"	"1"	88	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Outpatient or ER"	"2"	100	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Decedent's home"	"4"	375	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Other"	"7"	109	Not Applicable	Not Applicable
	"South Dakota"	"46"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Inpatient"	"1"	1912	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Outpatient or ER"	"2"	2556	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Dead on Arrival"	"3"	2433	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Medical Facility - Status unknown"	"10"	16	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Decedent's home"	"4"	6559	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Hospice facility"	"5"	11	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Nursing home/long term care"	"6"	66	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Other"	"7"	1409	Not Applicable	Not Applicable
	"Tennessee"	"47"	"Place of death unknown"	"9"	65	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Inpatient"	"1"	4447	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Outpatient or ER"	"2"	5873	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Dead on Arrival"	"3"	234	Not Applicable	Not Applicable
	"Texas"	"48"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Texas"	"48"	"Decedent's home"	"4"	17859	Not Applicable	Not Applicable
	"Texas"	"48"	"Hospice facility"	"5"	87	Not Applicable	Not Applicable
	"Texas"	"48"	"Nursing home/long term care"	"6"	93	Not Applicable	Not Applicable
	"Texas"	"48"	"Other"	"7"	5846	Not Applicable	Not Applicable
	"Texas"	"48"	"Place of death unknown"	"9"	30	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Inpatient"	"1"	747	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Outpatient or ER"	"2"	998	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Dead on Arrival"	"3"	105	Not Applicable	Not Applicable
	"Utah"	"49"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Utah"	"49"	"Decedent's home"	"4"	4336	Not Applicable	Not Applicable
	"Utah"	"49"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Utah"	"49"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Utah"	"49"	"Other"	"7"	1146	Not Applicable	Not Applicable
	"Utah"	"49"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Inpatient"	"1"	102	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Outpatient or ER"	"2"	206	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Dead on Arrival"	"3"	33	Not Applicable	Not Applicable
	"Vermont"	"50"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Vermont"	"50"	"Decedent's home"	"4"	598	Not Applicable	Not Applicable
	"Vermont"	"50"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Vermont"	"50"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Vermont"	"50"	"Other"	"7"	138	Not Applicable	Not Applicable
	"Vermont"	"50"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Inpatient"	"1"	1195	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Outpatient or ER"	"2"	1524	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Dead on Arrival"	"3"	741	Not Applicable	Not Applicable
	"Virginia"	"51"	"Medical Facility - Status unknown"	"10"	98	Not Applicable	Not Applicable
	"Virginia"	"51"	"Decedent's home"	"4"	5281	Not Applicable	Not Applicable
	"Virginia"	"51"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Virginia"	"51"	"Nursing home/long term care"	"6"	24	Not Applicable	Not Applicable
	"Virginia"	"51"	"Other"	"7"	2163	Not Applicable	Not Applicable
	"Virginia"	"51"	"Place of death unknown"	"9"	95	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Inpatient"	"1"	1818	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Outpatient or ER"	"2"	815	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Dead on Arrival"	"3"	28	Not Applicable	Not Applicable
	"Washington"	"53"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Washington"	"53"	"Decedent's home"	"4"	9006	Not Applicable	Not Applicable
	"Washington"	"53"	"Hospice facility"	"5"	32	Not Applicable	Not Applicable
	"Washington"	"53"	"Nursing home/long term care"	"6"	105	Not Applicable	Not Applicable
	"Washington"	"53"	"Other"	"7"	2585	Not Applicable	Not Applicable
	"Washington"	"53"	"Place of death unknown"	"9"	18	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Inpatient"	"1"	522	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Outpatient or ER"	"2"	1166	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Dead on Arrival"	"3"	178	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Decedent's home"	"4"	3117	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Nursing home/long term care"	"6"	27	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Other"	"7"	1454	Not Applicable	Not Applicable
	"West Virginia"	"54"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Inpatient"	"1"	944	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Outpatient or ER"	"2"	910	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Dead on Arrival"	"3"	61	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Decedent's home"	"4"	5799	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Hospice facility"	"5"	11	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Nursing home/long term care"	"6"	30	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Other"	"7"	1710	Not Applicable	Not Applicable
	"Wisconsin"	"55"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Inpatient"	"1"	107	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Outpatient or ER"	"2"	142	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Dead on Arrival"	"3"	11	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Medical Facility - Status unknown"	"10"	Suppressed	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Decedent's home"	"4"	594	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Hospice facility"	"5"	Suppressed	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Nursing home/long term care"	"6"	Suppressed	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Other"	"7"	164	Not Applicable	Not Applicable
	"Wyoming"	"56"	"Place of death unknown"	"9"	Suppressed	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2015"
"Query Parameters:"
"Title:"
"2013 Urbanization: All"
"Autopsy: All"
"Five-Year Age Groups: All"
"Gender: All"
"Hispanic Origin: All"
"ICD-10 Codes: X40 (Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics), X41"
"(Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not"
"elsewhere classified), X42 (Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not"
"elsewhere classified), X43 (Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system), X44"
"(Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances), X60 (Intentional"
"self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics), X61 (Intentional self-poisoning by and"
"exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified), X62"
"(Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified), X63"
"(Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system), X64 (Intentional"
"self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances), X85 (Assault by drugs,"
"medicaments and biological substances), Y10 (Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics,"
"undetermined intent), Y11 (Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic"
"drugs, not elsewhere classified, undetermined intent), Y12 (Poisoning by and exposure to narcotics and psychodysleptics"
"[hallucinogens], not elsewhere classified, undetermined intent), Y13 (Poisoning by and exposure to other drugs acting on the"
"autonomic nervous system, undetermined intent), Y14 (Poisoning by and exposure to other and unspecified drugs, medicaments and"
"biological substances, undetermined intent)"
"Place of Death: All"
"Race: All"
"States: All"
"Weekday: All"
"Year/Month: All"
"Group By: State, Place of Death"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Nov 3, 2017 4:04:23 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2015 on CDC WONDER Online Database, released December, 2016. Data are from the Multiple Cause of Death Files, 1999-2015, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Nov 3, 2017 4:04:23 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the Place of Death"
"category ""Place of death unknown."" Caution should be used in interpreting these data. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"5. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"6. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
"7. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"8. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"9. The Place of Death category 'Medical Facility - Status unknown' is only available from 1999 - 2002, and 'Hospice facility' is"
"only available for 2003 and later."
"10. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#ICD-10 Changes."
